127.0.0.1 - - [12/Jul/2023:10:11:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jul/2023:11:42:50 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 500 2330
0:0:0:0:0:0:0:1 - - [12/Jul/2023:11:42:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jul/2023:11:43:17 +0900] "GET /JSP_Study_MVC_M2/getBoardList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:11:43:17 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [12/Jul/2023:11:43:28 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:12:20:47 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 500 2320
0:0:0:0:0:0:0:1 - - [12/Jul/2023:12:20:53 +0900] "GET /JSP_Study_MVC_M2/getBoardList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:12:20:53 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [12/Jul/2023:12:21:40 +0900] "GET /JSP_Study_MVC_M2/getBoardList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:12:21:40 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [12/Jul/2023:12:34:06 +0900] "GET /JSP_Study_MVC_M2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:12:34:06 +0900] "GET /JSP_Study_MVC_M2/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [12/Jul/2023:12:34:37 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [12/Jul/2023:12:34:38 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [12/Jul/2023:12:39:22 +0900] "GET /JSP_Study_MVC_M2/getBoardList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:12:39:22 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2415
